locus tag	organism	pan locus tag	new symbol	type	symbol	synonym	product	essential	Gene ID	EC	TIGRFAM Meta Role	TIGRFAM Main Role	TIGRFAM Sub Role	TIGRFAM function	TIGRFAM	TIGRFAM HMM score	effector	interaction partners	PSORTb	LocateP	SignalP	transmembrane helices	protein GI	UniProt
SAOUHSC_00060	S. aureus NCTC8325	SAUPAN000899000	SAOUHSC_00060	CDS	SAOUHSC_00060		hypothetical protein	no	3919091		Metabolism	Transport and binding proteins	Cations and iron carrying compounds	Na/Pi-cotransporter II-related protein	TIGR00704	250.1			Cytoplasmic Membrane	Multi-transmembrane	no predicted signal peptide	9	88193879	Q2G1P4
SAOUHSC_00061	S. aureus NCTC8325	SAUPAN000902000	SAOUHSC_00061	CDS	SAOUHSC_00061		myosin-cross-reactive antigen	no	3919092					9,9'-di-cis-zeta-carotene desaturase	TIGR02732	15.7			no significant prediction	Intracellular	no predicted signal peptide	0	88193880	Q2G1P3
SAOUHSC_00062	S. aureus NCTC8325	SAUPAN000903000	SAOUHSC_00062	CDS	SAOUHSC_00062		hypothetical protein	no	3919093		Metabolism	Transport and binding proteins	Amino acids, peptides and amines	carboxylate/amino acid/amine transporter	TIGR00950	110.3			Cytoplasmic Membrane	Multi-transmembrane	no predicted signal peptide	10	88193881	Q2G1P2
SAOUHSC_00065	S. aureus NCTC8325	SAUPAN000905000	SAOUHSC_00065	CDS	SAOUHSC_00065		hypothetical protein	no	3919095										Cytoplasmic Membrane	Multi-transmembrane	no predicted signal peptide	4	88193883	Q2G1P0
SAOUHSC_00084	S. aureus NCTC8325	SAUPAN000926000	SAOUHSC_00084	CDS	SAOUHSC_00084		hypothetical protein	no	3919462										Cytoplasmic Membrane	Multi-transmembrane	no predicted signal peptide	3	88193899	Q2G1M3
SAOUHSC_00085	S. aureus NCTC8325	SAUPAN000928000	SAOUHSC_00085	CDS	SAOUHSC_00085		hypothetical protein	no	3919463					exopolysaccharide biosynthesis polyprenyl glycosylphosphotransferase	TIGR03025	20.7			Cytoplasmic Membrane	Multi-transmembrane	no predicted signal peptide	3	88193900	Q2G1M2
SAOUHSC_00087	S. aureus NCTC8325	SAUPAN000934000	SAOUHSC_00087	CDS	SAOUHSC_00087		hypothetical protein	no	3919465										Cytoplasmic Membrane	Intracellular	no predicted signal peptide	0	88193902	Q2G1M0
SAOUHSC_00089	S. aureus NCTC8325	SAUPAN000938000	SAOUHSC_00089	CDS	SAOUHSC_00089		hypothetical protein	no	3919800					exopolysaccharide biosynthesis polyprenyl glycosylphosphotransferase	TIGR03025	273.4			Cytoplasmic Membrane	N-terminally anchored (No CS)	no predicted signal peptide	1	88193904	Q2G287
SAOUHSC_00090	S. aureus NCTC8325	SAUPAN000939000	SAOUHSC_00090	CDS	SAOUHSC_00090		hypothetical protein	no	3919801					sugar transferase, PEP-CTERM/EpsH1 system associated	TIGR03088	126.5			Cytoplasmic	Intracellular	no predicted signal peptide	0	88193905	Q2G290
SAOUHSC_00091	S. aureus NCTC8325	SAUPAN000940000	SAOUHSC_00091	CDS	SAOUHSC_00091		hypothetical protein	no	3919802										Cytoplasmic Membrane	Multi-transmembrane	no predicted signal peptide	12	88193906	Q2G288
SAOUHSC_00092	S. aureus NCTC8325	SAUPAN000941000	SAOUHSC_00092	CDS	SAOUHSC_00092		hypothetical protein	no	3919803										Cytoplasmic Membrane	Multi-transmembrane	no predicted signal peptide	13	88193907	Q2G262
SAOUHSC_00096	S. aureus NCTC8325	SAUPAN000946000	SAOUHSC_00096	CDS	SAOUHSC_00096		GntR family transcriptional regulator	no	3919806		Signal transduction	Regulatory functions	DNA interactions	trehalose operon repressor	TIGR02404	68.1			no significant prediction	Intracellular	no predicted signal peptide	0	88193910	Q2G263
SAOUHSC_00106	S. aureus NCTC8325	SAUPAN000958000	SAOUHSC_00106	CDS	SAOUHSC_00106		hypothetical protein	no	3919815					gliding-associated putative ABC transporter substrate-binding component GldG	TIGR03521	15.3			no significant prediction	Secretory(released) (with CS)	signal peptide predicted	0	88193919	Q2G1L6
SAOUHSC_00107	S. aureus NCTC8325	SAUPAN000959000	SAOUHSC_00107	CDS	SAOUHSC_00107		hypothetical protein	no	3919816		Metabolism	Purines, pyrimidines, nucleosides, and nucleotides	Other	2',3'-cyclic-nucleotide 2'-phosphodiesterase	TIGR01390	170.6			Cellwall	Intracellular	no predicted signal peptide	0	88193920	Q2G1L5
SAOUHSC_00108	S. aureus NCTC8325	SAUPAN000964000	SAOUHSC_00108	CDS	SAOUHSC_00108		hypothetical protein	no	3919817										no significant prediction	Intracellular	no predicted signal peptide	0	88193921	Q2G1L4
SAOUHSC_00109	S. aureus NCTC8325	SAUPAN000965000	SAOUHSC_00109	CDS	SAOUHSC_00109		replication initiation protein	no	3919818										no significant prediction	Intracellular	no predicted signal peptide	0	88193922	Q2G1L3
SAOUHSC_00110	S. aureus NCTC8325	SAUPAN000966000	SAOUHSC_00110	CDS	SAOUHSC_00110		truncated replication initiation protein	no	3919819										Cytoplasmic	Intracellular	no predicted signal peptide	0	88193923	Q2G1L2
SAOUHSC_00111	S. aureus NCTC8325	SAUPAN000967000	SAOUHSC_00111	CDS	SAOUHSC_00111		hypothetical protein	no	3919820										Cytoplasmic Membrane	Multi-transmembrane	no predicted signal peptide	2	88193924	Q2G1L1
SAOUHSC_00112	S. aureus NCTC8325	SAUPAN000971000	SAOUHSC_00112	pseudogene	SAOUHSC_00112			no	3919821											Intracellular	no predicted signal peptide			Q2G1L0
SAOUHSC_00131	S. aureus NCTC8325	SAUPAN001002000	SAOUHSC_00131	CDS	SAOUHSC_00131		hypothetical protein	no	3919840										Cytoplasmic Membrane	Multi-transmembrane	no predicted signal peptide	3	88193944	Q2G1J1
SAOUHSC_00133	S. aureus NCTC8325	SAUPAN001005000	SAOUHSC_00133	CDS	SAOUHSC_00133		hypothetical protein	no	3919842		Metabolism	Transport and binding proteins	Cations and iron carrying compounds	cation diffusion facilitator family transporter	TIGR01297	307.3			Cytoplasmic Membrane	Multi-transmembrane	no predicted signal peptide	6	88193946	Q2G1I9
SAOUHSC_00134	S. aureus NCTC8325	SAUPAN001008000	SAOUHSC_00134	CDS	SAOUHSC_00134		hypothetical protein	no	3919843		Metabolism	Energy metabolism	Amino acids and amines	quinohemoprotein amine dehydrogenase, alpha subunit	TIGR03908	13.1			Cytoplasmic	Intracellular	no predicted signal peptide	0	88193947	Q2G1I8
SAOUHSC_00135	S. aureus NCTC8325	SAUPAN001009000	SAOUHSC_00135	CDS	SAOUHSC_00135		hypothetical protein	no	3919844										Cytoplasmic	Intracellular	no predicted signal peptide	0	88193948	Q2G1I7
SAOUHSC_00139	S. aureus NCTC8325	SAUPAN001013000	SAOUHSC_00139	CDS	SAOUHSC_00139		hypothetical protein	no	3919848		Metabolism	Central intermediary metabolism	Sulfur metabolism	sulfur acquisition oxidoreductase, SfnB family	TIGR04022	21.7			Cytoplasmic	Intracellular	no predicted signal peptide	0	88193952	Q2G1I3
SAOUHSC_00141	S. aureus NCTC8325	SAUPAN001014000	SAOUHSC_00141	CDS	SAOUHSC_00141		hypothetical protein	no	3919849					conserved hypothetical protein	TIGR01741	15.5			no significant prediction	Intracellular	no predicted signal peptide	0	88193953	Q2G1I2
SAOUHSC_00143	S. aureus NCTC8325	SAUPAN001017000	SAOUHSC_00143	CDS	SAOUHSC_00143		hypothetical protein	no	3919851					multidrug resistance protein	TIGR00880	34.3			Cytoplasmic Membrane	Multi-transmembrane	no predicted signal peptide	12	88193955	Q2G1I0
SAOUHSC_00145	S. aureus NCTC8325	SAUPAN001019000	SAOUHSC_00145	CDS	SAOUHSC_00145		hypothetical protein	no	3919853		Genetic information processing	Protein fate	Protein modification and repair	phosphopantetheine--protein transferase domain	TIGR00556	23.9			Cytoplasmic	Intracellular	no predicted signal peptide	0	88193957	Q2G1H8
SAOUHSC_00146	S. aureus NCTC8325	SAUPAN001020000	SAOUHSC_00146	CDS	SAOUHSC_00146		hypothetical protein	no	3919854										Cytoplasmic Membrane	Multi-transmembrane	no predicted signal peptide	4	88193958	Q2G1H7
SAOUHSC_00152	S. aureus NCTC8325	SAUPAN001029000	SAOUHSC_00152	CDS	SAOUHSC_00152		hypothetical protein	no	3919860					pyrimidine utilization protein B	TIGR03614	55.3			Cytoplasmic	Intracellular	no predicted signal peptide	0	88193964	Q2G1H1
SAOUHSC_00153	S. aureus NCTC8325	SAUPAN001030000	SAOUHSC_00153	CDS	SAOUHSC_00153		indolepyruvate decarboxylase	no	3919861		Metabolism	Central intermediary metabolism	Other	indolepyruvate decarboxylase	TIGR03393	528.9		"SAOUHSC_00187; SAOUHSC_00365; SAOUHSC_00878; SAOUHSC_01040; SAOUHSC_01232; SAOUHSC_01779; SAOUHSC_01801; SAOUHSC_01806; SAOUHSC_01845; SAOUHSC_02477; SAOUHSC_02494; SAOUHSC_02510; SAOUHSC_02968"	Cytoplasmic	Intracellular	no predicted signal peptide	0	88193965	Q2G1H0
SAOUHSC_00154	S. aureus NCTC8325	SAUPAN001031000	SAOUHSC_00154	CDS	SAOUHSC_00154		hypothetical protein	no	3919862										no significant prediction	Intracellular	no predicted signal peptide	0	88193966	Q2G1G9
SAOUHSC_00156	S. aureus NCTC8325	SAUPAN001033000	SAOUHSC_00156	CDS	SAOUHSC_00156		hypothetical protein	no	3919864					quinoprotein dehydrogenase-associated SoxYZ-like carrier	TIGR04557	12.1			Cytoplasmic	Intracellular	no predicted signal peptide	0	88193968	Q2G1G7
SAOUHSC_00158	S. aureus NCTC8325	SAUPAN001035000	SAOUHSC_00158	CDS	SAOUHSC_00158		PTS system transporter	no	3919866	2.7.1.69				PTS system, sucrose-specific IIBC component	TIGR01996	294.4			Cytoplasmic Membrane	Multi-transmembrane	no predicted signal peptide	10	88193970	Q2G1G5
SAOUHSC_00160	S. aureus NCTC8325	SAUPAN001036000	SAOUHSC_00160	CDS	SAOUHSC_00160		hypothetical protein	no	3919867					6-phospho 3-hexuloisomerase	TIGR03127	41.6			Cytoplasmic	Intracellular	no predicted signal peptide	0	88193971	Q2G1G4
SAOUHSC_00161	S. aureus NCTC8325	SAUPAN001037000	SAOUHSC_00161	CDS	SAOUHSC_00161		hypothetical protein	no	3919868					exopolysaccharide biosynthesis polyprenyl glycosylphosphotransferase	TIGR03025	7.1			Cytoplasmic Membrane	Multi-transmembrane	no predicted signal peptide	3	88193972	Q2G1G3
SAOUHSC_00163	S. aureus NCTC8325	SAUPAN001042000	SAOUHSC_00163	CDS	SAOUHSC_00163		hypothetical protein	no	3919870										no significant prediction	Intracellular	no predicted signal peptide	0	88193974	Q2G1G1
SAOUHSC_00164	S. aureus NCTC8325	SAUPAN001043000	SAOUHSC_00164	CDS	SAOUHSC_00164		hypothetical protein	no	3919871										no significant prediction	Intracellular	no predicted signal peptide	0	88193975	Q2G1G0
SAOUHSC_00166	S. aureus NCTC8325	SAUPAN001046000	SAOUHSC_00166	CDS	SAOUHSC_00166		hypothetical protein	no	3919872										Cytoplasmic	Intracellular	no predicted signal peptide	0	88193976	Q2G1F9
SAOUHSC_00167	S. aureus NCTC8325	SAUPAN001056000	SAOUHSC_00167	CDS	SAOUHSC_00167		peptide ABC transporter ATP-binding protein	no	3919873		Metabolism	Transport and binding proteins	Cations and iron carrying compounds	nickel import ATP-binding protein NikD	TIGR02770	447.4		"SAOUHSC_00530; SAOUHSC_01043; SAOUHSC_02494"	Cytoplasmic Membrane	Intracellular	no predicted signal peptide	0	88193977	Q2G1F8
SAOUHSC_00168	S. aureus NCTC8325	SAUPAN001057000	SAOUHSC_00168	CDS	SAOUHSC_00168		hypothetical protein	no	3919874		Metabolism	Transport and binding proteins	Cations and iron carrying compounds	nickel ABC transporter, permease subunit NikB	TIGR02789	205.4			Cytoplasmic Membrane	Multi-transmembrane	no predicted signal peptide	9	88193978	Q2G1F7
SAOUHSC_00169	S. aureus NCTC8325	SAUPAN001058000	SAOUHSC_00169	CDS	SAOUHSC_00169		peptide ABC transporter permease	no	3919875		Metabolism	Transport and binding proteins	Cations and iron carrying compounds	nickel ABC transporter, permease subunit NikC	TIGR02790	222.4			Cytoplasmic Membrane	Multi-transmembrane	no predicted signal peptide	9	88193979	Q2G1F6
SAOUHSC_00170	S. aureus NCTC8325	SAUPAN001059000	SAOUHSC_00170	CDS	SAOUHSC_00170		RGD-containing lipoprotein	no	3919876										no significant prediction	Lipid anchored	signal peptide predicted	0	88193980	Q2G1F5
SAOUHSC_00172	S. aureus NCTC8325	SAUPAN001061000	SAOUHSC_00172	CDS	SAOUHSC_00172		hypothetical protein	no	3919486					Staphylococcus tandem lipoproteins	TIGR01742	397.1			no significant prediction	N-terminally anchored (No CS)	no predicted signal peptide	1	88193982	Q2G1F3
SAOUHSC_00174	S. aureus NCTC8325	SAUPAN001063000	SAOUHSC_00174	CDS	SAOUHSC_00174		M23/M37 peptidase domain-containing protein	no	3919488		Genetic information processing	Transcription	DNA-dependent RNA polymerase	DNA-directed RNA polymerase, beta' subunit	TIGR02386	9.8			Extracellular	N-terminally anchored (No CS)	no predicted signal peptide	1	88193984	Q2G1F1
SAOUHSC_00178	S. aureus NCTC8325	SAUPAN001067000	SAOUHSC_00178	CDS	SAOUHSC_00178		maltose ABC transporter permease	no	3919492					NifC-like ABC-type porter	TIGR01581	29.1			Cytoplasmic Membrane	Multi-transmembrane	no predicted signal peptide	6	88193988	Q2G1E7
SAOUHSC_00179	S. aureus NCTC8325	SAUPAN001069000	SAOUHSC_00179	CDS	SAOUHSC_00179		hypothetical protein	no	3919493		Metabolism	Energy metabolism	Sugars	inositol 2-dehydrogenase	TIGR04380	117.7			Cytoplasmic	Intracellular	no predicted signal peptide	0	88193989	Q2G1E6
SAOUHSC_00180	S. aureus NCTC8325	SAUPAN001070000	SAOUHSC_00180	CDS	SAOUHSC_00180		hypothetical protein	no	3919494		Metabolism	Energy metabolism	Sugars	inositol 2-dehydrogenase	TIGR04380	105.2			Cytoplasmic	Intracellular	no predicted signal peptide	0	88193990	Q2G1E5
SAOUHSC_00181	S. aureus NCTC8325	SAUPAN001071000	SAOUHSC_00181	CDS	SAOUHSC_00181		hypothetical protein	no	3919495		Metabolism	Energy metabolism	Sugars	myo-inosose-2 dehydratase	TIGR04379	34.8			Cytoplasmic	Intracellular	no predicted signal peptide	0	88193991	Q2G1E4
SAOUHSC_00182	S. aureus NCTC8325	SAUPAN001073000	SAOUHSC_00182	CDS	SAOUHSC_00182		hypothetical protein	no	3919496										Cytoplasmic Membrane	Multi-transmembrane	no predicted signal peptide	4	88193992	Q2G1E3
SAOUHSC_00189	S. aureus NCTC8325	SAUPAN001084000	SAOUHSC_00189	pseudogene	SAOUHSC_00189			no	3919503											Intracellular	no predicted signal peptide			Q2G1D6
SAOUHSC_00190	S. aureus NCTC8325	SAUPAN001086000	SAOUHSC_00190	CDS	SAOUHSC_00190		hypothetical protein	no	3919504					TonB system transport protein ExbD	TIGR02804	12.5			Cytoplasmic Membrane	Multi-transmembrane	no predicted signal peptide	7	88194000	Q2G1D5
SAOUHSC_00191	S. aureus NCTC8325	SAUPAN001087000	SAOUHSC_00191	CDS	SAOUHSC_00191		hypothetical protein	no	3919505										no significant prediction	Intracellular	no predicted signal peptide	0	88194001	Q2G1D4
SAOUHSC_00193	S. aureus NCTC8325	SAUPAN001089000	SAOUHSC_00193	CDS	SAOUHSC_00193		hypothetical protein	no	3920349										Cytoplasmic Membrane	N-terminally anchored (No CS)	no predicted signal peptide	1	88194003	Q2G1D2
SAOUHSC_00194	S. aureus NCTC8325	SAUPAN001090000	SAOUHSC_00194	CDS	SAOUHSC_00194		hypothetical protein	no	3920350										no significant prediction	Intracellular	no predicted signal peptide	0	88194004	Q2G1D1
SAOUHSC_00202	S. aureus NCTC8325	SAUPAN001103000	SAOUHSC_00202	CDS	SAOUHSC_00202		hypothetical protein	no	3920358										no significant prediction	Intracellular	no predicted signal peptide	0	88194012	Q2G2P4
SAOUHSC_00203	S. aureus NCTC8325	SAUPAN001104000	SAOUHSC_00203	CDS	SAOUHSC_00203		hypothetical protein	no	3920359										no significant prediction	Multi-transmembrane	no predicted signal peptide	2	88194013	Q2G2P3
SAOUHSC_00205	S. aureus NCTC8325	SAUPAN001106000	SAOUHSC_00205	CDS	SAOUHSC_00205		hypothetical protein	no	3920361										no significant prediction	Intracellular	no predicted signal peptide	0	88194015	Q2G2P1
SAOUHSC_00208	S. aureus NCTC8325	SAUPAN001109000	SAOUHSC_00208	CDS	SAOUHSC_00208		hypothetical protein	no	3920363										no significant prediction	Intracellular	no predicted signal peptide	1	88194017	Q2G216
SAOUHSC_00211	S. aureus NCTC8325	SAUPAN001111000	SAOUHSC_00211	CDS	SAOUHSC_00211		hypothetical protein	no	3920365					translation initiation factor 2, gamma subunit	TIGR03680	14.2			Cytoplasmic	Intracellular	no predicted signal peptide	0	88194019	Q2G217
SAOUHSC_00212	S. aureus NCTC8325	SAUPAN001113000	SAOUHSC_00212	CDS	SAOUHSC_00212		hypothetical protein	no	3920366										no significant prediction	Intracellular	no predicted signal peptide	0	88194020	Q2G215
SAOUHSC_00213	S. aureus NCTC8325	SAUPAN001114000	SAOUHSC_00213	CDS	SAOUHSC_00213		hypothetical protein	no	3920289		Signal transduction	Signal transduction	PTS	PTS IIA-like nitrogen-regulatory protein PtsN	TIGR01419	13.2			Cytoplasmic	Intracellular	no predicted signal peptide	0	88194021	Q2G2B8
SAOUHSC_00214	S. aureus NCTC8325	SAUPAN001116000	SAOUHSC_00214	CDS	SAOUHSC_00214		PTS system transporter subunit IIA	no	3920290		"Metabolism; Signal transduction"	"Transport and binding proteins; Signal transduction"	"Carbohydrates, organic alcohols, and acids; PTS"	PTS system, fructose subfamily, IIA component	TIGR00848	73.1			Cytoplasmic	Intracellular	no predicted signal peptide	0	88194022	Q2G2B7
